frame,state,ball_x,ball_y,stuck,note
236,TRACKING_POINT,1283,142,0,OK
237,TRACKING_POINT,1275,152,0,OK
238,TRACKING_POINT,1265,165,0,OK
239,TRACKING_POINT,1265,165,1,OK
240,TRACKING_POINT,1265,165,2,OK
241,TRACKING_POINT,1269,149,0,OK
242,TRACKING_POINT,1269,149,1,OK
243,TRACKING_POINT,1269,149,2,OK
244,TRACKING_POINT,1273,147,0,OK
245,TRACKING_POINT,1276,146,0,OK
246,TRACKING_POINT,1280,146,0,OK
247,TRACKING_POINT,1288,141,0,OK
248,TRACKING_POINT,1281,83,0,OK
249,TRACKING_POINT,1282,83,1,OK
250,TRACKING_POINT,1283,83,1,OK
251,TRACKING_POINT,1286,148,0,OK
252,TRACKING_POINT,1236,186,0,OK
253,TRACKING_POINT,1288,148,0,OK
254,TRACKING_POINT,1288,143,0,OK
255,TRACKING_POINT,1288,143,1,OK
256,TRACKING_POINT,1288,143,1,OK
257,TRACKING_POINT,1288,143,2,OK
258,TRACKING_POINT,1288,143,3,OK
259,TRACKING_POINT,1290,155,0,OK
260,TRACKING_POINT,1288,163,0,OK
261,TRACKING_POINT,1285,144,0,OK
262,TRACKING_POINT,1284,143,1,OK
263,TRACKING_POINT,1284,147,0,OK
264,TRACKING_POINT,1288,163,0,OK
265,TRACKING_POINT,1283,144,0,OK
266,TRACKING_POINT,1283,144,1,OK
267,TRACKING_POINT,1283,145,1,OK
268,TRACKING_POINT,1283,145,2,OK
269,TRACKING_POINT,1283,145,3,OK
270,TRACKING_POINT,1299,160,0,OK
271,TRACKING_POINT,1301,157,0,OK
272,TRACKING_POINT,1295,143,0,OK
273,TRACKING_POINT,1304,136,0,OK
274,TRACKING_POINT,1302,140,0,OK
275,TRACKING_POINT,1258,148,0,OK
276,TRACKING_POINT,1258,148,1,OK
277,TRACKING_POINT,1258,148,2,OK
278,TRACKING_POINT,1325,126,0,OK
279,TRACKING_POINT,1325,126,1,OK
280,TRACKING_POINT,1326,83,0,OK
281,TRACKING_POINT,1335,122,0,OK
282,TRACKING_POINT,1339,122,0,OK
283,TRACKING_POINT,1339,122,1,OK
284,TRACKING_POINT,1339,122,2,OK
285,TRACKING_POINT,1339,122,3,OK
286,TRACKING_POINT,1518,180,0,OK
287,TRACKING_POINT,1518,180,1,OK
288,TRACKING_POINT,1518,180,1,OK
289,TRACKING_POINT,1518,180,1,OK
